Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,month_day
285-68-5083,C,Naypyitaw,Member,Female,Sports and travel,24.74,3.0,3.711,77.931,2/15/2019,17:47,Credit card,74.22,4.761904762,3.711,10.0,2-15
227-78-1148,B,Mandalay,Normal,Female,Fashion accessories,72.84,7.0,25.494,535.374,2/15/2019,12:44,Cash,509.88,4.761904762,25.494,8.4,2-15
394-43-4238,B,Mandalay,Member,Male,Home and lifestyle,17.77,5.0,4.4425,93.2925,2/15/2019,12:42,Credit card,88.85,4.761904762,4.4425,5.4,2-15
136-08-6195,A,Yangon,Normal,Female,Home and lifestyle,69.96,8.0,27.984,587.664,2/15/2019,17:01,Credit card,559.68,4.761904762,27.984,6.4,2-15
372-94-8041,A,Yangon,Normal,Male,Health and beauty,15.26,6.0,4.578,96.138,2/15/2019,18:03,Ewallet,91.56,4.761904762,4.578,9.8,2-15
873-95-4984,B,Mandalay,Member,Female,Health and beauty,76.9,7.0,26.915,565.215,2/15/2019,20:21,Cash,538.3,4.761904762,26.915,7.7,2-15
860-79-0874,C,Naypyitaw,Member,Female,Fashion accessories,99.3,10.0,49.65,1042.65,2/15/2019,14:53,Credit card,993.0,4.761904762,49.65,6.6,2-15
541-89-9860,C,Naypyitaw,Member,Female,Fashion accessories,80.48,3.0,12.072,253.512,2/15/2019,12:31,Cash,241.44,4.761904762,12.072,8.1,2-15
710-46-4433,B,Mandalay,Member,Female,Food and beverages,77.4,9.0,34.83,731.43,2/15/2019,14:15,Credit card,696.6,4.761904762,34.83,4.5,2-15
233-34-0817,C,Naypyitaw,Member,Female,Electronic accessories,98.84,1.0,4.942,103.782,2/15/2019,11:21,Cash,98.84,4.761904762,4.942,8.4,2-15
246-11-3901,C,Naypyitaw,Normal,Female,Electronic accessories,32.8,10.0,16.4,344.4,2/15/2019,12:12,Cash,328.0,4.761904762,16.4,6.2,2-15
152-68-2907,A,Yangon,Normal,Male,Food and beverages,52.2,3.0,7.83,164.43,2/15/2019,13:30,Credit card,156.6,4.761904762,7.83,9.5,2-15
556-41-6224,C,Naypyitaw,Normal,Male,Health and beauty,33.64,8.0,13.456,282.576,2/15/2019,17:10,Credit card,269.12,4.761904762,13.456,9.3,2-15
305-03-2383,A,Yangon,Normal,Female,Food and beverages,67.1,3.0,10.065,211.365,2/15/2019,10:36,Cash,201.3,4.761904762,10.065,7.5,2-15
400-80-4065,C,Naypyitaw,Member,Male,Health and beauty,68.55,4.0,13.71,287.91,2/15/2019,20:21,Credit card,274.2,4.761904762,13.71,9.2,2-15
497-36-0989,A,Yangon,Normal,Male,Fashion accessories,51.94,3.0,7.791,163.611,2/15/2019,15:21,Cash,155.82,4.761904762,7.791,7.9,2-15
234-36-2483,B,Mandalay,Normal,Male,Health and beauty,57.59,6.0,17.277,362.817,2/15/2019,13:51,Cash,345.54,4.761904762,17.277,5.1,2-15
321-49-7382,B,Mandalay,Member,Male,Sports and travel,88.31,1.0,4.4155,92.7255,2/15/2019,17:38,Credit card,88.31,4.761904762,4.4155,5.2,2-15
431-66-2305,B,Mandalay,Normal,Female,Electronic accessories,88.25,9.0,39.7125,833.9625,2/15/2019,20:51,Credit card,794.25,4.761904762,39.7125,7.6,2-15
