Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,month_day
441-94-7118,A,Yangon,Member,Male,Electronic accessories,71.95,1.0,3.5975,75.5475,2/4/2019,12:14,Cash,71.95,4.761904762,3.5975,7.3,2-4
236-86-3015,C,Naypyitaw,Member,Male,Home and lifestyle,13.98,1.0,0.699,14.679,2/4/2019,13:38,Ewallet,13.98,4.761904762,0.699,9.8,2-4
745-71-3520,A,Yangon,Member,Female,Electronic accessories,25.22,7.0,8.827,185.367,2/4/2019,10:23,Cash,176.54,4.761904762,8.827,8.2,2-4
627-95-3243,B,Mandalay,Member,Female,Home and lifestyle,77.68,9.0,34.956,734.076,2/4/2019,13:21,Ewallet,699.12,4.761904762,34.956,9.8,2-4
198-66-9832,B,Mandalay,Member,Female,Fashion accessories,72.04,2.0,7.204,151.284,2/4/2019,19:38,Cash,144.08,4.761904762,7.204,9.5,2-4
695-28-6250,A,Yangon,Normal,Female,Sports and travel,43.06,5.0,10.765,226.065,2/4/2019,16:38,Ewallet,215.3,4.761904762,10.765,7.7,2-4
518-17-2983,A,Yangon,Normal,Female,Fashion accessories,48.63,4.0,9.726,204.246,2/4/2019,15:44,Ewallet,194.52,4.761904762,9.726,7.6,2-4
268-20-3585,C,Naypyitaw,Normal,Female,Health and beauty,13.85,9.0,6.2325,130.8825,2/4/2019,12:50,Ewallet,124.65,4.761904762,6.2325,6.0,2-4
434-35-9162,B,Mandalay,Member,Male,Food and beverages,23.34,4.0,4.668,98.028,2/4/2019,18:53,Ewallet,93.36,4.761904762,4.668,7.4,2-4
404-91-5964,A,Yangon,Normal,Male,Electronic accessories,74.58,7.0,26.103,548.163,2/4/2019,16:09,Credit card,522.06,4.761904762,26.103,9.0,2-4
151-33-7434,B,Mandalay,Normal,Female,Food and beverages,67.77,1.0,3.3885,71.1585,2/4/2019,20:43,Credit card,67.77,4.761904762,3.3885,6.5,2-4
