Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,month_day
189-17-4241,A,Yangon,Normal,Female,Fashion accessories,87.67,2.0,8.767,184.107,3/10/2019,12:17,Credit card,175.34,4.761904762,8.767,7.7,3-10
129-29-8530,A,Yangon,Member,Male,Sports and travel,62.62,5.0,15.655,328.755,3/10/2019,19:15,Ewallet,313.1,4.761904762,15.655,7.0,3-10
668-90-8900,A,Yangon,Normal,Female,Home and lifestyle,93.69,7.0,32.7915,688.6215,3/10/2019,18:44,Credit card,655.83,4.761904762,32.7915,4.5,3-10
790-29-1172,B,Mandalay,Normal,Female,Food and beverages,57.34,3.0,8.601,180.621,3/10/2019,18:59,Credit card,172.02,4.761904762,8.601,7.9,3-10
596-42-3999,B,Mandalay,Normal,Male,Food and beverages,18.22,7.0,6.377,133.917,3/10/2019,14:04,Credit card,127.54,4.761904762,6.377,6.6,3-10
696-90-2548,A,Yangon,Normal,Male,Sports and travel,25.84,3.0,3.876,81.396,3/10/2019,18:55,Ewallet,77.52,4.761904762,3.876,6.6,3-10
453-12-7053,C,Naypyitaw,Normal,Male,Fashion accessories,45.74,3.0,6.861,144.081,3/10/2019,17:38,Credit card,137.22,4.761904762,6.861,6.5,3-10
239-48-4278,A,Yangon,Member,Male,Food and beverages,10.13,7.0,3.5455,74.4555,3/10/2019,19:35,Ewallet,70.91,4.761904762,3.5455,8.3,3-10
607-65-2441,C,Naypyitaw,Member,Male,Health and beauty,81.95,10.0,40.975,860.475,3/10/2019,12:39,Credit card,819.5,4.761904762,40.975,6.0,3-10
246-55-6923,C,Naypyitaw,Member,Female,Home and lifestyle,35.79,9.0,16.1055,338.2155,3/10/2019,15:06,Credit card,322.11,4.761904762,16.1055,5.1,3-10
156-20-0370,B,Mandalay,Normal,Female,Electronic accessories,25.45,1.0,1.2725,26.7225,3/10/2019,18:10,Credit card,25.45,4.761904762,1.2725,5.1,3-10
745-74-0715,A,Yangon,Normal,Male,Electronic accessories,58.03,2.0,5.803,121.863,3/10/2019,20:46,Ewallet,116.06,4.761904762,5.803,8.8,3-10
