Invoice_ID,Branch,City,Customer_type,Gender,Product_line,Unit_price,Quantity,Tax,Total,Date,Time,Payment,cogs,gross_margin_percentage,gross_income,Rating,month_day
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5.0,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6,3-8
594-34-4444,A,Yangon,Normal,Male,Electronic accessories,97.16,1.0,4.858,102.018,3/8/2019,20:38,Ewallet,97.16,4.761904762,4.858,7.2,3-8
483-71-1164,C,Naypyitaw,Normal,Female,Health and beauty,81.3,6.0,24.39,512.19,3/8/2019,16:43,Ewallet,487.8,4.761904762,24.39,5.3,3-8
458-41-1477,C,Naypyitaw,Normal,Female,Health and beauty,46.26,6.0,13.878,291.438,3/8/2019,17:11,Credit card,277.56,4.761904762,13.878,9.5,3-8
563-91-7120,A,Yangon,Normal,Female,Fashion accessories,61.77,5.0,15.4425,324.2925,3/8/2019,13:21,Cash,308.85,4.761904762,15.4425,6.7,3-8
632-90-0281,C,Naypyitaw,Normal,Female,Fashion accessories,37.55,10.0,18.775,394.275,3/8/2019,20:01,Credit card,375.5,4.761904762,18.775,9.3,3-8
325-77-6186,A,Yangon,Member,Female,Home and lifestyle,90.65,10.0,45.325,951.825,3/8/2019,10:53,Ewallet,906.5,4.761904762,45.325,7.3,3-8
574-57-9721,C,Naypyitaw,Normal,Male,Food and beverages,43.27,2.0,4.327,90.867,3/8/2019,16:53,Ewallet,86.54,4.761904762,4.327,5.7,3-8
345-08-4992,A,Yangon,Normal,Male,Home and lifestyle,33.99,6.0,10.197,214.137,3/8/2019,15:37,Credit card,203.94,4.761904762,10.197,7.7,3-8
549-96-4200,C,Naypyitaw,Member,Male,Food and beverages,17.04,4.0,3.408,71.568,3/8/2019,20:15,Ewallet,68.16,4.761904762,3.408,7.0,3-8
364-33-8584,B,Mandalay,Member,Female,Food and beverages,17.63,5.0,4.4075,92.5575,3/8/2019,15:27,Cash,88.15,4.761904762,4.4075,8.5,3-8
